Customer ID,Customer Name,AR Account,Chain,Phone,Territory,Account Status,Customer Type,Last Month Sales,Report Address,Latitude,Longitude,Location,Product Group,Distribution Area,Time Created
11974,COSTCO #579,COSTCO (MAT),COSTCO (MAT),(678) 201-0003,Bulk Westpark,Active,Wholesale Club*,"$119,202.46","1700 MOUNT ZION RD, MORROW, GA 30260-3014",33.572122,-84.333679,Westpark,WHOLESALE,Fulton Chain,12/21/2010 7:55 PM
27864223,M&N,M&N,* Independent Viva,(915) 541-0000,Market - J. Chavez,Active,Wholesale Club*,"$90,324.00","1431 Pendale, El paso, TX 79936",31.74038,-106.308962,El Paso,Default,El Paso Indep,11/25/2013 9:20 AM
27864940,EMPIRE DISTRIBUTING,Empire Distributing (MAT),* Independent Matador,(404) 572-4100,Bulk Westpark,Active,House Sales,"$81,658.72","3755 ATLANTA INDUSTRIAL PKWY., ATLANTA, GA 30331",33.802642,-84.495226,Westpark,Default,Fulton Chain,9/29/2014 9:07 PM
27868566,TRIDENT WHOLESALE INC,Trident Wholesale Inc.,* Independent Matador,,Bulk Westpark,Active,Wholesale Club*,"$69,606.40","103 Forest Parkway, FOREST PARK, GA 30297",33.617962,-84.387413,Westpark,Default,Fulton Indep,11/28/2016 11:23 AM
25246,SERENA WHOLESALE,SERENA WHOLESALE,* Independent Matador,(473) 338-0660,Bulk Westpark,Active,Wholesale Club*,"$51,781.28","3840 EISENHOWER PKWY, MACON, GA 31216",32.815104,-83.705605,Westpark,Default,Fulton Indep,12/21/2010 8:32 PM
9907,SAM'S CLUB #6259,SAM'S CLUB (CHAP),SAM'S CLUB (CHAP),(512) 828-0543,Bulk Austin,Active,Wholesale Club*,"$50,263.95","130 SUNDANCE PKWY STE 300, ROUND ROCK, TX 78681-7935",30.484956,-97.680503,Austin,WHOLESALE,Austin Chain,1/10/2011 6:52 PM
9909,SAM'S CLUB #6453,SAM'S CLUB (CHAP),SAM'S CLUB (CHAP),(512) 343-8262,Bulk Austin,Active,Wholesale Club*,"$49,951.70","9700 N CAPITAL OF TEXAS HWY, AUSTIN, TX 78759-5819",30.39172,-97.742188,Austin,WHOLESALE,Austin Chain,1/10/2011 6:52 PM
16919,SAM'S CLUB #6643,SAM'S CLUB (MAT),SAM'S CLUB (MAT),(404) 325-4000,Bulk Westpark,Active,Wholesale Club*,"$45,302.16","2901 A CLAIRMONT RD., ATLANTA, GA 30329-1639",33.84231,-84.311647,Westpark,WHOLESALE,Fulton Chain,12/21/2010 8:13 PM
27865255,SAM'S CLUB #6188,SAM'S CLUB (CHAP),SAM'S CLUB (CHAP),(512) 872-8464,Bulk Austin,Active,Wholesale Club*,"$45,171.47","10901 LAKELINE MALL DR, AUSTIN, TX 78717",30.47627,-97.796191,Austin,WHOLESALE,Austin Chain,3/24/2015 2:52 PM
16925,SAM'S CLUB #8203,SAM'S CLUB (MAT),SAM'S CLUB (MAT),(770) 423-7018,Bulk Westpark,Active,Wholesale Club*,"$44,884.34","105 S COBB PKWY., MARIETTA, GA 30060",33.920588,-84.510429,Westpark,WHOLESALE,Fulton Chain,12/21/2010 8:09 PM
9942,COSTCO #641,COSTCO (CHAP),COSTCO (CHAP),(512) 382-3191,Bulk Austin,Active,Wholesale Club*,"$40,538.88","4301 W WILLIAM CANNON DR, AUSTIN, TX 78749-1473",30.218766,-97.843026,Austin,WHOLESALE,Austin Chain,1/10/2011 6:52 PM
16917,SAM'S CLUB #6409,SAM'S CLUB (MAT),SAM'S CLUB (MAT),(770) 908-8408,Bulk Conyers,Active,Wholesale Club*,"$39,918.34","1940 MOUNTAIN IND. BLVD., TUCKER, GA 30084",33.854351,-84.212029,Conyers,WHOLESALE,Conyers Chain,12/21/2010 8:09 PM
6349,SAM'S CLUB #6439,SAM'S CLUB (VIVA),SAM'S CLUB (VIVA),,Market - L. Herron,Active,Wholesale Club*,"$38,229.22","4230 JOHN BEN SHEPPERD PKWY, ODESSA, TX 79762-8153",31.897753,-102.333522,Midland,WHOLESALE,Midland Chain,1/10/2011 6:18 PM
