ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
22238335,"5001 TROWBRIDGE DR & HOWZE ST, El paso, TX 79903",7-11 #600,31.788804,-106.431174,250,"El Paso,Updated Geofence",,Normal Geofence
22238336,"2000 N PIEDRAS ST & LEBANON, El paso, TX 79930",7-11 #601,31.794224,-106.461118,250,"El Paso,Updated Geofence",,Normal Geofence
22238337,"7400 ALAMEDA AVE & CAROLINA, El paso, TX 79915",7-11 #603,31.741336,-106.377480,250,"El Paso,Updated Geofence",,Normal Geofence
22238338,"10418 RUSHING RD & DEARBORNE, El paso, TX 79924",7-11 #604,31.915173,-106.421827,250,"El Paso,Updated Geofence",,Normal Geofence
22238339,"4413 DYER ST & TAYLOR, El paso, TX 79930",7-11 #605,31.816286,-106.445043,250,"El Paso,Updated Geofence",,Normal Geofence
22238340,"1733 BROWN ST & SCHUSTER, El paso, TX 79902",7-11 #606,31.778388,-106.487476,250,"El Paso,Updated Geofence",,Normal Geofence
22238341,"3525 YARBOROUGH DR & SHANNON, El paso, TX 79925",7-11 #607,31.796318,-106.332570,250,"El Paso,Updated Geofence",,Normal Geofence
22238342,"5007 ALABAMA ST, El paso, TX 79930",7-11 #608,31.821519,-106.466222,250,"El Paso,Updated Geofence",,Normal Geofence
22238343,"5201 FAIRBANKS DR, El paso, TX 79924",7-11 #609,31.903478,-106.421089,250,"El Paso,Updated Geofence",,Normal Geofence
22238344,"301 SHADOW MOUNTAIN DR & CAPROCK, El paso, TX 79912",7-11 #610,31.834407,-106.526404,250,"El Paso,Updated Geofence",,Normal Geofence
22238345,"8901 DIANA DR, El paso, TX 79904",7-11 #611,31.865436,-106.423534,250,"El Paso,Updated Geofence",,Normal Geofence
22238347,"6360 AIRPORT RD & SIOUX DR, El paso, TX 79925",7-11 #613,31.791167,-106.404355,250,"El Paso,Updated Geofence",,Normal Geofence
22238348,"2050 TRAWOOD DR STE 1, El paso, TX 79935",7-11 #615,31.765391,-106.330091,250,"El Paso,Updated Geofence",,Normal Geofence
22238349,"3101 N YARBROUGH DR, El paso, TX 79925",7-11 #616,31.785577,-106.335927,250,"El Paso,Updated Geofence",,Normal Geofence
22238350,"1598 LOMALAND DR, El paso, TX 79935",7-11 #617,31.757223,-106.329066,250,"El Paso,Updated Geofence",,Normal Geofence
22238351,"10300 MCCOMBS ST & SUN VALLEY, El paso, TX 79924",7-11 #618,31.910484,-106.406472,250,"El Paso,Updated Geofence",,Normal Geofence
22238352,"501 N COPIA ST & GATEWAY W, El paso, TX 79903",7-11 #619,31.778892,-106.451183,250,"El Paso,Updated Geofence",,Normal Geofence
22238353,"9635 MCCOMBS ST & WILL RUTH, El paso, TX 79924",7-11 #620,31.885981,-106.406796,250,"El Paso,Updated Geofence",,Normal Geofence
22238355,"5385 N MESA ST & FESTIVAL, El paso, TX 79912",7-11 #626,31.817696,-106.515807,250,"El Paso,Updated Geofence",,Normal Geofence
22238356,"5710 HONDO PASS DR & RAILROAD, El paso, TX 79924",7-11 #627,31.869944,-106.407650,250,"El Paso,Updated Geofence",,Normal Geofence
22238357,"7150 ALAMEDA AVE & CROOM, El paso, TX 79915",7-11 #628,31.750987,-106.389540,250,"El Paso,Updated Geofence",,Normal Geofence
22238358,"4950 HERCULES AVE & DIANA, El paso, TX 79904",7-11 #629,31.854871,-106.423207,250,"El Paso,Updated Geofence",,Normal Geofence
22238361,"3020 LEE TREVINO & PEBBLE HILLS, El paso, TX 79936",7-11 #632,31.783086,-106.323821,250,"El Paso,Updated Geofence",,Normal Geofence
22238363,"599 YARBROUGH DR & CAROLINA, El paso, TX 79915",7-11 #634,31.738764,-106.346282,250,"El Paso,Updated Geofence",,Normal Geofence
22238364,"10026 MONTANA AVE & WEDGEWOOD, El paso, TX 79925",7-11 #635,31.795339,-106.348986,250,"El Paso,Updated Geofence",,Normal Geofence
22238365,"6500 ESCONDIDO & WESTWIND, El paso, TX 79912",7-11 #636,31.843604,-106.536273,250,"El Paso,Updated Geofence",,Normal Geofence
22238366,"3601 MONTANA AVE & COPIA ST, El paso, TX 79903",7-11 #637,31.783988,-106.450591,250,"El Paso,Updated Geofence",,Normal Geofence
22238367,"10898 MONTANA AVE, El paso, TX 79935",7-11 #639,31.798710,-106.323039,250,"El Paso,Updated Geofence",,Normal Geofence
22238368,"8300 DYER ST & HERCULES, El paso, TX 79904",7-11 #641,31.855441,-106.437319,250,"El Paso,Updated Geofence",,Normal Geofence
22238369,"6680 MONTANA & AIRWAY BLVD, El paso, TX 79925",7-11 #643,31.788044,-106.396124,250,"El Paso,Updated Geofence",,Normal Geofence
22238370,"4525 SUN VALLEY DR & WAR RD, El paso, TX 79924",7-11 #645,31.913219,-106.440747,250,"El Paso,Updated Geofence",,Normal Geofence
22238371,"8160 GATEWAY BLVD E, El paso, TX 79907",7-11 #646,31.743908,-106.332732,250,"El Paso,Updated Geofence",,Normal Geofence
22238372,"701 N RESLER DR, El paso, TX 79912",7-11 #647,31.851683,-106.555693,250,"El Paso,Updated Geofence",,Normal Geofence
22238373,"1490 GEORGE DIETER & PELLICANO, El paso, TX 79936",7-11 #648,31.743828,-106.301184,250,"El Paso,Updated Geofence",,Normal Geofence
22238374,"850 N ZARAGOSA & BETEL, El paso, TX 79907",7-11 #649,31.707364,-106.314207,250,"El Paso,Updated Geofence",,Normal Geofence
22238375,"1330 N ZARAGOZA RD, El paso, TX 79936",7-11 #650,31.727455,-106.299108,250,"El Paso,Updated Geofence",,Normal Geofence
22238376,"6200 GATEWAY BLVD E & GERONIMO, El paso, TX 79905",7-11 #651,31.781202,-106.406000,250,"El Paso,Updated Geofence",,Normal Geofence
22238377,"5200 MONTANA AVE, El paso, TX 79903",ALBERTSONS #1006,31.782799,-106.426508,250,"El Paso,Updated Geofence",,Normal Geofence
22238378,"11320 MONTWOOD DR, El paso, TX 79936",ALBERTSONS #1016,31.767777,-106.301547,250,"El Paso,Updated Geofence",,Normal Geofence
22238379,"7022 N MESA ST, El paso, TX 79912",ALBERTSONS #932,31.836823,-106.551217,250,"El Paso,Updated Geofence",,Normal Geofence
22238380,"2200 N YARBROUGH DR, El paso, TX 79925",ALBERTSONS #934,31.772886,-106.337987,250,"El Paso,Updated Geofence",,Normal Geofence
22238381,"5630 N DESERT BLVD, El paso, TX 79912",ALBERTSONS #994,31.864696,-106.574921,250,"El Paso,Updated Geofence",,Normal Geofence
22238383,"8272 GATEWAY BLVD E, El paso, TX 79907",BARNETT HARLEY DAVIDSON,31.741679,-106.330389,250,"El Paso,Updated Geofence",,Normal Geofence
22238384,"7555 ACAPULCO AVE, El paso, TX 79915",BARRONS GROCERY,31.749153,-106.359985,250,"El Paso,Updated Geofence",,Normal Geofence
22238385,"6200 DYER B, El paso, TX 79904",BEST FOODS,31.834417,-106.444802,250,"El Paso,Updated Geofence",,Normal Geofence
22238387,"717 MAIN ST, ANTHONY, TX 79821",CAZARES MEAT MARKET VIVA,31.994215,-106.605229,250,"El Paso,Updated Geofence",,Normal Geofence
22238389,"6996 ESCONDIDO DR, El paso, TX 79912",CIRCLE K #1190,31.844469,-106.549188,250,"El Paso,Updated Geofence",,Normal Geofence
22238390,"1400 W YANDELL DR, El paso, TX 79902",CIRCLE K #1227,31.762464,-106.503071,250,"El Paso,Updated Geofence",,Normal Geofence
22238391,"10567 RUSHING RD, El paso, TX 79924",CIRCLE K #1257,31.919580,-106.423334,250,"El Paso,Updated Geofence",,Normal Geofence
22238392,"3910 DYER ST STE A, El paso, TX 79930",CIRCLE K #1418,31.811707,-106.444288,250,"El Paso,Updated Geofence",,Normal Geofence
